index,datetime,predict2,CashType
183914,2018-04-01 07:00:00,-1.0,deli
183915,2018-04-01 07:30:00,-1.0,deli
183916,2018-04-01 08:00:00,-1.0,deli
183917,2018-04-01 08:30:00,-1.0,deli
183918,2018-04-01 09:00:00,-1.0,deli
183919,2018-04-01 09:30:00,-1.0,deli
183920,2018-04-01 10:00:00,-1.0,deli
183921,2018-04-01 10:30:00,-1.0,deli
183922,2018-04-01 11:00:00,-1.0,deli
183923,2018-04-01 11:30:00,-1.0,deli
183924,2018-04-01 12:00:00,-1.0,deli
183925,2018-04-01 12:30:00,-1.0,deli
183926,2018-04-01 13:00:00,-1.0,deli
183927,2018-04-01 13:30:00,-1.0,deli
183928,2018-04-01 14:00:00,-1.0,deli
183929,2018-04-01 14:30:00,-1.0,deli
183930,2018-04-01 15:00:00,-1.0,deli
183931,2018-04-01 15:30:00,-1.0,deli
183932,2018-04-01 16:00:00,-1.0,deli
183933,2018-04-01 16:30:00,-1.0,deli
183934,2018-04-01 17:00:00,-1.0,deli
183935,2018-04-01 17:30:00,-1.0,deli
183936,2018-04-01 18:00:00,-1.0,deli
183937,2018-04-01 18:30:00,-1.0,deli
183938,2018-04-01 19:00:00,-1.0,deli
183939,2018-04-01 19:30:00,-1.0,deli
183940,2018-04-01 20:00:00,-1.0,deli
183941,2018-04-01 20:30:00,-1.0,deli
183942,2018-04-01 21:00:00,-1.0,deli
183943,2018-04-01 21:30:00,-1.0,deli
183944,2018-04-01 22:00:00,-1.0,deli
183945,2018-04-01 22:30:00,-1.0,deli
183946,2018-04-01 23:00:00,-1.0,deli
183947,2018-04-01 23:30:00,-1.0,deli
183948,2018-04-01 07:00:00,-1.0,return
183949,2018-04-01 07:30:00,-1.0,return
183950,2018-04-01 08:00:00,-1.0,return
183951,2018-04-01 08:30:00,-1.0,return
183952,2018-04-01 09:00:00,-1.0,return
183953,2018-04-01 09:30:00,-1.0,return
183954,2018-04-01 10:00:00,-1.0,return
183955,2018-04-01 10:30:00,-1.0,return
183956,2018-04-01 11:00:00,-1.0,return
183957,2018-04-01 11:30:00,-1.0,return
183958,2018-04-01 12:00:00,-1.0,return
183959,2018-04-01 12:30:00,-1.0,return
183960,2018-04-01 13:00:00,-1.0,return
183961,2018-04-01 13:30:00,-1.0,return
183962,2018-04-01 14:00:00,-1.0,return
183963,2018-04-01 14:30:00,-1.0,return
183964,2018-04-01 15:00:00,-1.0,return
183965,2018-04-01 15:30:00,-1.0,return
183966,2018-04-01 16:00:00,-1.0,return
183967,2018-04-01 16:30:00,-1.0,return
183968,2018-04-01 17:00:00,-1.0,return
183969,2018-04-01 17:30:00,-1.0,return
183970,2018-04-01 18:00:00,-1.0,return
183971,2018-04-01 18:30:00,-1.0,return
183972,2018-04-01 19:00:00,-1.0,return
183973,2018-04-01 19:30:00,-1.0,return
183974,2018-04-01 20:00:00,-1.0,return
183975,2018-04-01 20:30:00,-1.0,return
183976,2018-04-01 21:00:00,-1.0,return
183977,2018-04-01 21:30:00,-1.0,return
183978,2018-04-01 22:00:00,-1.0,return
183979,2018-04-01 22:30:00,-1.0,return
183980,2018-04-01 23:00:00,-1.0,return
183981,2018-04-01 23:30:00,-1.0,return
183982,2018-04-01 07:00:00,44.67503280639649,usual
183983,2018-04-01 07:30:00,82.51060638427734,usual
183984,2018-04-01 08:00:00,104.49222106933594,usual
183985,2018-04-01 08:30:00,131.61314544677734,usual
183986,2018-04-01 09:00:00,169.54555969238282,usual
183987,2018-04-01 09:30:00,191.99394836425782,usual
183988,2018-04-01 10:00:00,227.30633544921875,usual
183989,2018-04-01 10:30:00,230.9672637939453,usual
183990,2018-04-01 11:00:00,262.83990173339845,usual
183991,2018-04-01 11:30:00,264.5008148193359,usual
183992,2018-04-01 12:00:00,278.80982971191406,usual
183993,2018-04-01 12:30:00,285.50982971191405,usual
183994,2018-04-01 13:00:00,286.80982971191406,usual
183995,2018-04-01 13:30:00,286.20982971191404,usual
183996,2018-04-01 14:00:00,287.4507232666016,usual
183997,2018-04-01 14:30:00,285.55072326660155,usual
183998,2018-04-01 15:00:00,283.2610717773438,usual
183999,2018-04-01 15:30:00,277.6145812988281,usual
184000,2018-04-01 16:00:00,264.4595062255859,usual
184001,2018-04-01 16:30:00,250.96126708984374,usual
184002,2018-04-01 17:00:00,245.7574462890625,usual
184003,2018-04-01 17:30:00,225.25105895996094,usual
184004,2018-04-01 18:00:00,207.3202880859375,usual
184005,2018-04-01 18:30:00,197.1603759765625,usual
184006,2018-04-01 19:00:00,174.59375,usual
184007,2018-04-01 19:30:00,167.63385314941405,usual
184008,2018-04-01 20:00:00,154.34100952148438,usual
184009,2018-04-01 20:30:00,145.4491973876953,usual
184010,2018-04-01 21:00:00,125.1682861328125,usual
184011,2018-04-01 21:30:00,113.65603637695312,usual
184012,2018-04-01 22:00:00,97.8326919555664,usual
184013,2018-04-01 22:30:00,83.00708923339843,usual
184014,2018-04-01 23:00:00,51.18071746826172,usual
184015,2018-04-01 23:30:00,38.36627044677734,usual
184016,2018-04-01 07:00:00,-1.0,give
184017,2018-04-01 07:30:00,-1.0,give
184018,2018-04-01 08:00:00,-1.0,give
184019,2018-04-01 08:30:00,-1.0,give
184020,2018-04-01 09:00:00,-1.0,give
184021,2018-04-01 09:30:00,-1.0,give
184022,2018-04-01 10:00:00,-1.0,give
184023,2018-04-01 10:30:00,-1.0,give
184024,2018-04-01 11:00:00,-1.0,give
184025,2018-04-01 11:30:00,-1.0,give
184026,2018-04-01 12:00:00,-1.0,give
184027,2018-04-01 12:30:00,-1.0,give
184028,2018-04-01 13:00:00,-1.0,give
184029,2018-04-01 13:30:00,-1.0,give
184030,2018-04-01 14:00:00,-1.0,give
184031,2018-04-01 14:30:00,-1.0,give
184032,2018-04-01 15:00:00,-1.0,give
184033,2018-04-01 15:30:00,-1.0,give
184034,2018-04-01 16:00:00,-1.0,give
184035,2018-04-01 16:30:00,-1.0,give
184036,2018-04-01 17:00:00,-1.0,give
184037,2018-04-01 17:30:00,-1.0,give
184038,2018-04-01 18:00:00,-1.0,give
184039,2018-04-01 18:30:00,-1.0,give
184040,2018-04-01 19:00:00,-1.0,give
184041,2018-04-01 19:30:00,-1.0,give
184042,2018-04-01 20:00:00,-1.0,give
184043,2018-04-01 20:30:00,-1.0,give
184044,2018-04-01 21:00:00,-1.0,give
184045,2018-04-01 21:30:00,-1.0,give
184046,2018-04-01 22:00:00,-1.0,give
184047,2018-04-01 22:30:00,-1.0,give
184048,2018-04-01 23:00:00,-1.0,give
184049,2018-04-01 23:30:00,-1.0,give
184050,2018-04-01 07:00:00,-1.0,info
184051,2018-04-01 07:30:00,-1.0,info
184052,2018-04-01 08:00:00,-1.0,info
184053,2018-04-01 08:30:00,-1.0,info
184054,2018-04-01 09:00:00,-1.0,info
184055,2018-04-01 09:30:00,-1.0,info
184056,2018-04-01 10:00:00,-1.0,info
184057,2018-04-01 10:30:00,-1.0,info
184058,2018-04-01 11:00:00,-1.0,info
184059,2018-04-01 11:30:00,-1.0,info
184060,2018-04-01 12:00:00,-1.0,info
184061,2018-04-01 12:30:00,-1.0,info
184062,2018-04-01 13:00:00,-1.0,info
184063,2018-04-01 13:30:00,-1.0,info
184064,2018-04-01 14:00:00,-1.0,info
184065,2018-04-01 14:30:00,-1.0,info
184066,2018-04-01 15:00:00,-1.0,info
184067,2018-04-01 15:30:00,-1.0,info
184068,2018-04-01 16:00:00,-1.0,info
184069,2018-04-01 16:30:00,-1.0,info
184070,2018-04-01 17:00:00,-1.0,info
184071,2018-04-01 17:30:00,-1.0,info
184072,2018-04-01 18:00:00,-1.0,info
184073,2018-04-01 18:30:00,-1.0,info
184074,2018-04-01 19:00:00,-1.0,info
184075,2018-04-01 19:30:00,-1.0,info
