datetime,bills,products_amount,CashType
2017-01-02 10:30:00,1.0,25.0,big
2017-01-02 11:00:00,1.0,247.0,big
2017-01-02 11:30:00,8.0,154.0,big
2017-01-02 12:00:00,4.0,25.5,big
2017-01-02 12:30:00,6.0,355.0,big
2017-01-02 13:00:00,1.0,1.0,big
2017-01-02 13:30:00,4.0,148.0,big
2017-01-02 14:00:00,4.0,64.0,big
2017-01-02 14:30:00,8.0,223.824,big
2017-01-02 15:00:00,6.0,90.0,big
2017-01-02 15:30:00,7.0,151.0,big
2017-01-02 16:00:00,7.0,629.0,big
2017-01-02 16:30:00,5.0,183.0,big
2017-01-02 17:00:00,1.0,25.0,big
2017-01-02 17:30:00,3.0,70.0,big
2017-01-02 18:00:00,2.0,6.0,big
2017-01-02 19:00:00,2.0,13.0,big
2017-01-02 19:30:00,5.0,270.0,big
2017-01-02 20:00:00,3.0,136.0,big
2017-01-02 20:30:00,3.0,64.0,big
2017-01-02 21:00:00,2.0,129.25400000000002,big
2017-01-02 21:30:00,2.0,95.0,big
2017-01-02 23:00:00,1.0,17.0,big
2017-01-02 23:30:00,5.0,387.0,big
2017-01-02 13:00:00,5.0,294.0,deli
2017-01-02 13:30:00,6.0,104.0,deli
2017-01-02 14:00:00,7.0,172.0,deli
2017-01-02 14:30:00,7.0,261.0,deli
2017-01-02 15:00:00,4.0,255.0,deli
2017-01-02 15:30:00,6.0,126.0,deli
2017-01-02 16:00:00,4.0,69.6,deli
2017-01-02 17:00:00,4.0,64.0,deli
2017-01-02 17:30:00,6.0,168.0,deli
2017-01-02 18:00:00,2.0,15.0,deli
2017-01-02 18:30:00,1.0,1.0,deli
2017-01-02 19:00:00,1.0,5.0,deli
2017-01-02 19:30:00,1.0,147.0,deli
2017-01-02 20:00:00,2.0,64.0,deli
2017-01-02 10:30:00,5.0,5.0,extra
2017-01-02 11:00:00,6.0,9.0,extra
2017-01-02 11:30:00,6.0,8.373000000000001,extra
2017-01-02 12:00:00,4.0,27.0,extra
2017-01-02 12:30:00,6.0,9.2,extra
2017-01-02 13:00:00,4.0,11.0,extra
2017-01-02 13:30:00,10.0,17.2,extra
2017-01-02 14:00:00,2.0,3.0,extra
2017-01-02 14:30:00,4.0,19.0,extra
2017-01-02 15:00:00,6.0,7.15,extra
2017-01-02 15:30:00,6.0,8.0,extra
2017-01-02 16:00:00,4.0,6.0,extra
2017-01-02 16:30:00,7.0,7.09,extra
2017-01-02 17:00:00,2.0,4.0,extra
2017-01-02 17:30:00,3.0,2.2800000000000002,extra
2017-01-02 18:00:00,9.0,11.76,extra
2017-01-02 18:30:00,4.0,11.0,extra
2017-01-02 19:00:00,3.0,4.0,extra
2017-01-02 19:30:00,2.0,2.73,extra
2017-01-02 20:00:00,2.0,3.0,extra
2017-01-02 21:00:00,1.0,9.0,extra
2017-01-02 21:30:00,1.0,3.0,extra
2017-01-02 08:00:00,2.0,3.0,info
2017-01-02 09:30:00,1.0,6.0,info
2017-01-02 10:00:00,7.0,23.5,info
2017-01-02 10:30:00,4.0,21.0,info
2017-01-02 11:00:00,6.0,66.45,info
2017-01-02 11:30:00,12.0,45.15,info
2017-01-02 12:00:00,4.0,6.5,info
2017-01-02 12:30:00,8.0,101.7,info
2017-01-02 13:00:00,8.0,37.3,info
2017-01-02 13:30:00,10.0,68.44999999999999,info
2017-01-02 14:00:00,29.0,136.0,info
2017-01-02 14:30:00,21.0,101.6,info
2017-01-02 15:00:00,9.0,40.3,info
2017-01-02 15:30:00,5.0,11.0,info
2017-01-02 16:00:00,4.0,19.15,info
2017-01-02 16:30:00,6.0,33.45,info
2017-01-02 17:00:00,8.0,33.1,info
2017-01-02 17:30:00,7.0,29.63,info
2017-01-02 18:00:00,8.0,44.65,info
2017-01-02 18:30:00,1.0,4.0,info
2017-01-02 19:00:00,3.0,15.799999999999999,info
2017-01-02 20:00:00,5.0,60.349999999999994,info
2017-01-02 20:30:00,3.0,11.25,info
2017-01-02 21:00:00,3.0,10.0,info
2017-01-02 21:30:00,1.0,4.0,info
2017-01-02 22:00:00,4.0,15.0,info
2017-01-02 23:00:00,2.0,4.0,info
2017-01-02 23:30:00,5.0,30.5,info
2017-01-02 08:30:00,2.0,22.0,return
2017-01-02 09:00:00,4.0,29.0,return
2017-01-02 09:30:00,3.0,5.0,return
2017-01-02 10:00:00,2.0,7.0,return
2017-01-02 10:30:00,5.0,22.0,return
2017-01-02 11:00:00,1.0,2.0,return
2017-01-02 11:30:00,7.0,18.0,return
2017-01-02 12:00:00,7.0,26.0,return
2017-01-02 12:30:00,12.0,61.0,return
2017-01-02 13:00:00,9.0,25.0,return
2017-01-02 13:30:00,7.0,41.0,return
